StartDateTime	CoolingDegree	Energy	Flow	TemperatureIn	TemperatureOut	Volume
01/01/2019 08.00	36.43.00	03.02	00.07	65.54.00	29.01.00	00.07
01/01/2019 07.00	36.16.00	03.08	00.07	65.28.00	29.12.00	00.09
01/01/2019 06.00	36.28.00	3	00.07	65.57.00	29.29.00	00.08
01/01/2019 05.00	36	03.05	00.07	65.27.00	29.28.00	00.08
01/01/2019 04.00	34.58.00	03.04	00.07	64.35.00	29.77	00.07
01/01/2019 03.00	34.78	0,184722222	00.06	65.32.00	30.54.00	00.09
01/01/2019 02.00	33.69	00.08	00.06	64.01.00	30.31.00	0
01/01/2019 01.00	36.31.00	0,234027778	00.08	64.99	28.68	00.15
01/01/2019 00.00	36.28.00	03.15	00.08	64.98	28.07.00	00.07
31/12/2018 23.00	34.64	0,152083333	00.06	64.44.00	29.08.00	00.08
31/12/2018 22.00	34.02.00	0,139583333	00.06	64.74	30.72	00.07
31/12/2018 21.00	35.48.00	6	00.06	65.43.00	29.95	00.13
31/12/2018 20.00	33.69	00.01	00.07	63.79	30.01.00	0
31/12/2018 19.00	37.58.00	0,275	00.07	66.07.00	29.12.00	00.15
31/12/2018 18.00	37.54.00	0,169444444	00.07	66.69	29.15.00	00.01
31/12/2018 17.00	34.91	0,044444444	00.06	66.06.00	31.15.00	00.02
31/12/2018 16.00	39.71	0,438194444	00.07	69.54.00	29.83	00.23
31/12/2018 15.00	39.79	07.27	00.07	69.58.00	29.79	00.15
31/12/2018 14.00	42.11.00	04.35	00.01	70.75	28.64	00.01
31/12/2018 13.00	39.26.00	03.51	00.07	68.91	29.65	00.09
31/12/2018 12.00	39.22.00	04.48	00.07	69.72	30.05.00	00.08
31/12/2018 11.00	36.49.00	04.22	00.07	66.27.00	29.77	00.01
31/12/2018 10.00	39.42.00	04.12	00.08	68.97	29.54.00	00.09
31/12/2018 09.00	39.58.00	0,18125	00.01	67.06.00	28.02.00	00.01
31/12/2018 08.00	38.37.00	4	00.09	66.57.00	28.02.00	00.01
31/12/2018 07.00	38.27.00	08.02	00.07	68.18.00	29.91	00.18
31/12/2018 06.00	34.55.00	03.03	00.07	64.74	30.19.00	00.09
31/12/2018 05.00	37.25.00	04.55	00.08	67.81	30.56.00	00.09
